Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Festival Delight,2/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4110,9.3%,171,36,3861,3,5216,55,9,7
Festival Delight,2/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4797,5.5%,118,83,1395,7,4057,17,38,23
Festival Delight,2/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4678,6.6%,139,140,855,14,5409,30,2,17
Festival Delight,2/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3100,8.0%,111,33,1034,10,2608,73,22,13
Festival Delight,2/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5916,7.2%,191,149,2574,7,10886,54,38,3
Festival Delight,3/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3306,9.7%,142,69,719,14,2028,70,7,7
Festival Delight,3/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5701,7.4%,188,112,4677,2,1449,54,0,7
Festival Delight,3/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3681,7.2%,119,52,578,0,2318,11,20,13
Festival Delight,3/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4945,6.1%,135,32,380,7,1352,41,27,0
Festival Delight,2/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3707,6.8%,112,58,966,14,0,11,38,0
Festival Delight,2/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4222,5.8%,110,111,1583,14,5883,46,9,20
Festival Delight,2/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4826,7.5%,161,123,3048,14,2125,36,13,23
Festival Delight,2/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3250,5.2%,76,38,355,17,16363,25,4,20
Festival Delight,2/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4484,6.7%,135,124,2950,17,13050,48,29,13
