Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Spring ,2/1/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1110.8,1.9%,21,118,2459,1,4458,45,4,3
Spring ,2/2/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1296.6,1.1%,14,62,889,2,3468,14,17.00,11
Spring ,2/3/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1264.4,1.3%,17,32,545,4,4623,24,1,8
Spring ,2/4/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,837.8,1.6%,13,49,659,3,2229,59,10,6
Spring ,2/5/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1599,1.4%,23,70,1640,2,9305,44,17,2
Spring ,2/6/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,893.6,1.9%,17,26,458,4,1734,57,3,3
Spring ,2/7/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1540.8,1.5%,23,130,2979,0,1238,44,0,3
Spring ,2/8/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,994.8,1.4%,14,25,368,0,1981,9,9,6
Spring ,2/9/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1336.6,1.2%,16,15,242,2,1156,33,12,0
Spring ,2/1/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1001.8,1.4%,14,45,615,4,0,9,17,0
Spring ,2/2/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1141.2,1.2%,13,75,1008,4,5028,37,4,9
Spring ,2/3/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1304.2,1.5%,19,99,1941,4,1816,29,6,11
Spring ,2/4/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,878.4,1.0%,9,24,226,5,13986,20,2,9
Spring ,2/5/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,1211.8,1.3%,16,114,1879,5,11154,39,13,6
Spring ,2/6/2024,Delhi,28.7041,77.1025,Facebook,Desktop,Collection,962.2,1.5%,15,32,480,6,9940,9,6,2
